age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
41,Male,Married,High School,177116,Private,9,Small,Own,0,5,2,193,4596,5499,27374,6988,0,0,548,241800,150420,E-commerce,28548,11,50000,Not_Eligible
33,Male,Married,Graduate,146155,Private,12,Large,Own,0,4,0,11245,25337,9364,4888,2574,1,5945,329,373724,35377,Education,207451,35,50000,Not_Eligible
28,Female,Married,Graduate,157328,Private,26,Small,Rented,27890,1,2,12421,6665,8336,29753,10485,2,15906,474,483052,173970,Home Appliances,87207,13,23444,Not_Eligible
44,Male,Married,Graduate,190408,Private,17,Medium,Rented,22169,6,3,18575,19519,8904,19783,922,1,14805,850,256434,137889,Home Appliances,267594,20,50000,Eligible
56,Male,Married,High School,61022,Government,35,Medium,Family,0,3,0,4614,2710,4357,17504,5179,2,18604,325,77796,104208,Vehicle,1132882,54,2221,Not_Eligible
27,Female,Married,Post Graduate,31938,Government,12,Small,Family,0,5,2,3256,11758,3925,24185,9802,1,7029,803,163692,89819,E-commerce,127781,18,500,Not_Eligible
55,Female,Single,Post Graduate,122720,Private,25,Large,Family,0,6,1,19986,18693,3504,15564,3809,0,0,585,248015,127453,E-commerce,136843,23,50000,Not_Eligible
54,Male,Married,High School,75340,Private,31,Small,Rented,6212,3,1,11010,21334,3399,9432,8918,0,0,622,51830,77721,Vehicle,1194577,34,22617,Not_Eligible
34,Male,Married,Graduate,95619,Private,40,Large,Rented,6565,4,2,537,26175,9237,16830,6799,2,17582,814,114554,79559,Education,126297,42,13637,Eligible
47,Female,Single,Post Graduate,58414,Private,10,Medium,Own,0,1,2,2113,24486,1806,22302,14281,2,17952,420,101311,40818,Vehicle,609004,34,500,Not_Eligible
30,Female,Single,Graduate,88717,Self-employed,30,Small,Own,0,6,2,9508,15560,8589,21115,4312,1,2330,842,486478,31568,Vehicle,237747,52,24239,Eligible
52,Female,Married,Post Graduate,87751,Private,3,Small,Rented,49403,1,0,12350,9099,9206,6757,13597,1,6667,452,200390,178228,Personal Loan,536498,52,500,Not_Eligible
50,Male,Married,Graduate,79853,Self-employed,22,Small,Own,0,4,2,4874,7837,8519,28268,9388,1,10027,492,439523,149841,Education,386884,37,5376,Not_Eligible
37,Male,Married,Post Graduate,152332,Private,16,Small,Family,0,3,1,7314,29785,6462,9973,11242,2,3538,547,275727,88635,Education,292316,43,50000,Not_Eligible
27,Female,Single,Professional,124641,Private,39,Small,Own,0,1,1,14725,18249,8629,24960,2531,2,29338,631,253045,166345,E-commerce,196828,20,23978,High_Risk
59,Male,Single,High School,102735,Private,31,Large,Own,0,3,3,19353,27259,801,10731,287,2,26106,477,469319,121539,Vehicle,574135,32,30984,Not_Eligible
41,Male,Single,Graduate,35852,Private,38,Small,Own,0,6,0,9821,13012,8264,3775,10962,2,19834,737,345976,119816,Vehicle,81870,84,500,Not_Eligible
57,Female,Married,Graduate,120585,Self-employed,34,Large,Rented,26722,2,1,8308,14565,5355,29901,7206,2,2438,311,119860,22506,Home Appliances,225142,35,17392,Not_Eligible
49,Female,Married,High School,47379,Private,16,Small,Rented,31773,2,1,7223,24773,9606,18486,4633,1,8252,667,140824,107655,Education,404439,24,500,Not_Eligible
53,Male,Single,Graduate,73118,Self-employed,30,Large,Own,0,2,0,2723,21685,1315,8008,13442,0,0,661,333043,21594,Home Appliances,60608,7,25010,High_Risk
52,Female,Married,Professional,91758,Self-employed,1,Small,Own,0,1,3,1055,6023,9336,2009,4897,1,1317,594,1120,136786,Education,406452,19,39093,Not_Eligible
32,Male,Single,High School,41138,Private,22,Medium,Own,0,2,1,16680,15720,5951,5617,6505,2,24172,637,76273,13470,E-commerce,82065,21,500,Not_Eligible
38,Female,Single,Graduate,87055,Private,1,Medium,Family,0,4,2,742,6403,1486,6756,10863,1,12752,711,37162,102849,Personal Loan,507227,58,26450,Eligible
41,Female,Single,Post Graduate,64382,Private,29,Small,Rented,31987,5,1,16418,22828,5335,27920,14433,0,0,798,356877,73469,Personal Loan,569274,52,500,Not_Eligible
42,Male,Single,Graduate,172206,Private,39,Large,Rented,8596,5,3,4945,898,852,6956,13485,2,8450,420,220672,26164,Vehicle,258821,40,50000,Not_Eligible
26,Female,Married,Graduate,174041,Government,27,Small,Rented,16298,5,2,13897,24810,1287,6534,9787,2,22262,562,5670,94577,E-commerce,44790,4,50000,Not_Eligible
44,Male,Married,Professional,15845,Private,34,Medium,Rented,34932,5,1,19032,27872,5551,25459,1656,1,13763,609,370829,40134,E-commerce,198413,14,500,Not_Eligible
30,Female,Single,Graduate,126447,Self-employed,9,Medium,Own,0,3,3,14976,696,8251,26620,1641,1,11793,489,327960,48915,Personal Loan,386007,30,36996,Not_Eligible
51,Male,Married,High School,133502,Private,40,Medium,Family,0,6,3,14591,18912,1528,7851,10393,0,0,836,359319,177979,Education,158416,11,50000,Eligible
49,Male,Married,High School,84928,Private,22,Small,Family,0,2,2,5294,2374,2992,20213,7639,2,18864,581,81608,69935,Vehicle,1376983,19,12764,Not_Eligible
58,Female,Married,Post Graduate,101788,Government,27,Small,Own,0,5,0,11963,10805,4217,16965,1996,0,0,626,437471,80788,E-commerce,83091,6,40776,High_Risk
51,Female,Married,Graduate,161133,Private,31,Small,Own,0,1,2,12841,10094,5644,18152,10434,1,9087,407,90162,1252,Personal Loan,933133,22,50000,Not_Eligible
38,Male,Single,Graduate,84923,Self-employed,26,Small,Rented,32111,5,2,8506,15591,506,10717,14135,1,11788,529,285435,60104,Vehicle,639438,67,500,Not_Eligible
59,Female,Married,High School,26924,Private,13,Small,Own,0,1,1,760,27529,6571,23038,980,0,0,644,279454,70218,E-commerce,118346,11,500,Not_Eligible
39,Female,Single,Graduate,83914,Self-employed,25,Large,Own,0,2,0,18249,13848,5230,26668,12385,1,3933,536,109361,143831,Home Appliances,177831,19,13240,Not_Eligible
36,Male,Married,Post Graduate,61970,Government,26,Medium,Family,0,3,2,3937,11948,9642,22328,5170,2,3666,724,187706,23834,Home Appliances,101007,24,6139,Eligible
57,Female,Single,Graduate,85804,Self-employed,35,Medium,Own,0,5,3,19470,2783,3362,27289,5967,2,24298,375,26099,185975,Education,214369,47,5409,Not_Eligible
38,Female,Married,Professional,57569,Private,19,Small,Rented,10575,1,1,18646,26626,5191,5094,10756,1,11182,384,235653,25677,Education,258430,38,2280,Not_Eligible
27,Male,Single,Graduate,42726,Government,20,Small,Rented,28931,2,1,377,9441,1275,20398,3703,0,0,486,338557,130560,E-commerce,54542,17,500,Not_Eligible
41,Male,Married,Graduate,197293,Private,20,Medium,Rented,12474,3,0,14785,13873,9215,29986,2356,2,4956,475,154444,901,Vehicle,874463,66,50000,Not_Eligible
53,Female,Married,Post Graduate,38840,Government,4,Small,Family,0,5,2,12682,2769,8422,16999,14458,0,0,749,268884,163921,E-commerce,97727,18,500,Not_Eligible
31,Male,Married,Graduate,145628,Private,3,Small,Rented,33166,6,3,4613,8665,3871,28373,5225,2,8772,778,476734,139276,Vehicle,163194,62,25966,Eligible
41,Female,Married,Graduate,147752,Private,0,Medium,Rented,13085,4,3,16256,16601,4875,11754,2543,1,8271,560,117307,167512,E-commerce,153155,13,50000,Not_Eligible
29,Female,Married,Post Graduate,129291,Private,27,Medium,Rented,9621,4,1,2227,27020,8646,27105,10349,1,7984,578,145328,186257,Personal Loan,82584,39,27809,Not_Eligible
49,Male,Married,Graduate,183620,Private,17,Large,Family,0,3,0,4974,9867,3306,28287,3250,1,6007,462,59997,166799,E-commerce,158449,13,50000,Not_Eligible
42,Male,Single,Graduate,15922,Private,35,Small,Own,0,5,1,18979,16820,2740,19424,11633,1,3298,593,271024,124309,Education,92376,22,500,Not_Eligible
36,Female,Married,Professional,70801,Government,28,Medium,Own,0,1,3,14857,26270,2798,21729,1057,0,0,689,101921,167694,Home Appliances,298345,14,21739,Not_Eligible
33,Male,Married,High School,49097,Private,5,Small,Own,0,1,0,2243,10814,7221,16638,7778,1,12058,698,427178,19240,Home Appliances,168241,17,500,Not_Eligible
45,Male,Married,Graduate,121731,Government,4,Small,Rented,14952,2,0,2881,8845,2505,10875,6044,1,9964,833,145471,129043,Education,370563,24,37131,Eligible
49,Female,Single,High School,132575,Private,15,Medium,Family,0,2,3,5141,1332,1341,17016,14353,2,24608,618,332091,197930,Education,222938,30,34119,High_Risk
58,Female,Single,Graduate,181112,Government,37,Small,Rented,10097,3,2,1411,27239,2071,28949,7819,1,13796,487,94608,75439,E-commerce,118636,13,50000,Not_Eligible
40,Female,Married,Graduate,85248,Government,1,Medium,Rented,34708,6,0,3652,3328,9868,2418,13880,2,25580,338,161388,195118,E-commerce,59063,5,500,Not_Eligible
30,Female,Married,Graduate,58641,Private,7,Medium,Own,0,4,0,11435,6462,8792,7742,3728,0,0,679,85598,101332,Education,360728,20,18655,Not_Eligible
54,Female,Married,High School,185992,Government,1,Small,Rented,13883,3,1,149,4179,9563,15985,7102,0,0,742,276218,93647,Education,325762,22,50000,Eligible
47,Male,Married,Graduate,139503,Self-employed,16,Large,Rented,23211,2,2,5749,21226,3134,11503,12208,0,0,604,13886,60024,Vehicle,1292636,63,43082,High_Risk
50,Female,Married,Graduate,156474,Government,40,Medium,Family,0,4,3,6283,10945,4701,19466,2404,2,13980,808,41495,21573,E-commerce,86750,10,50000,Eligible
28,Female,Married,Graduate,97321,Private,28,Medium,Own,0,2,3,19418,21149,5162,12095,13916,0,0,474,250712,175272,E-commerce,152315,3,32678,Not_Eligible
36,Female,Married,Graduate,97766,Private,20,Medium,Rented,15441,6,1,19484,18220,5477,20444,11594,0,0,329,272843,144148,Home Appliances,36127,8,17679,Not_Eligible
52,Female,Married,Post Graduate,86974,Government,5,Large,Own,0,3,1,16910,452,754,4977,10153,2,19930,648,164859,80041,Personal Loan,378582,36,23635,High_Risk
54,Male,Married,Graduate,153661,Private,14,Small,Own,0,4,3,6838,9228,6179,11300,3647,1,6085,366,215694,192294,E-commerce,65643,7,50000,Not_Eligible
40,Female,Single,Graduate,53964,Government,21,Medium,Rented,49183,6,3,10546,122,868,21399,12271,1,12028,346,208243,36766,Personal Loan,347317,36,500,Not_Eligible
53,Male,Married,Post Graduate,195450,Private,11,Medium,Rented,48306,2,0,10086,1965,3113,15196,12643,2,21484,686,378967,155740,Education,183833,30,38932,High_Risk
55,Female,Single,Graduate,47546,Government,28,Small,Own,0,3,2,17204,14190,3277,21983,4389,2,24346,539,223226,90442,E-commerce,82620,23,500,Not_Eligible
38,Male,Single,Graduate,100281,Private,40,Small,Own,0,4,2,14919,7944,6908,19817,8807,2,18500,633,423952,124841,Education,496552,34,18334,High_Risk
57,Male,Married,Post Graduate,73203,Private,8,Large,Family,0,2,0,18132,2673,9017,11198,909,1,10054,711,108513,7448,Education,299660,7,19169,Not_Eligible
35,Male,Married,Graduate,133867,Self-employed,10,Medium,Own,0,1,3,11022,12260,7137,13992,5911,1,5861,510,99808,122166,Home Appliances,194311,17,50000,Not_Eligible
33,Female,Single,High School,140928,Self-employed,5,Medium,Rented,23747,2,1,18384,13557,4637,29012,2260,0,0,636,201863,135834,E-commerce,65088,20,37160,High_Risk
49,Female,Married,Graduate,184953,Self-employed,29,Medium,Own,0,1,2,14872,29769,5488,28940,8346,1,4869,597,40768,195584,Home Appliances,31810,14,50000,Not_Eligible
47,Male,Married,High School,161005,Self-employed,18,Large,Own,0,5,1,14777,19847,5368,2996,8233,2,9192,619,335527,69224,Home Appliances,236778,34,50000,High_Risk
30,Male,Single,Graduate,61005,Private,11,Large,Rented,18126,1,2,13233,11790,1903,21753,7992,0,0,687,195278,14623,Home Appliances,164091,22,500,Not_Eligible
54,Male,Single,Post Graduate,53231,Private,8,Medium,Own,0,2,3,6713,14199,9595,15747,10157,2,12742,509,183200,12334,Education,485178,9,500,Not_Eligible
32,Male,Single,High School,179014,Private,2,Small,Rented,49085,6,1,12171,2675,9233,2035,13871,0,0,577,267075,29911,E-commerce,101382,8,48291,Not_Eligible
53,Female,Married,Post Graduate,105256,Private,19,Small,Family,0,4,1,7132,11599,2780,19755,2951,0,0,625,41052,59888,Home Appliances,153504,34,41103,High_Risk
25,Male,Married,Post Graduate,33045,Private,28,Medium,Family,0,5,3,12993,17434,1593,2651,3215,1,13042,377,188401,166163,Personal Loan,616301,60,4154,Not_Eligible
53,Male,Single,Graduate,167620,Self-employed,9,Large,Own,0,5,3,5096,629,2068,10927,3231,0,0,416,486109,39037,E-commerce,105956,21,50000,Not_Eligible
53,Male,Married,Post Graduate,134963,Private,0,Medium,Family,0,2,3,15984,27590,6477,21329,13923,2,18140,349,314281,29022,E-commerce,42244,10,33670,Not_Eligible
53,Male,Single,Post Graduate,19730,Private,19,Small,Family,0,4,3,11427,15452,779,24755,1389,1,13668,409,286988,6374,Home Appliances,96689,29,500,Not_Eligible
48,Female,Single,Professional,159825,Private,27,Small,Rented,24322,2,2,14204,23601,1479,13554,470,1,2561,541,252826,76659,Education,280878,15,50000,Not_Eligible
41,Female,Married,Graduate,127365,Private,14,Medium,Own,0,4,3,4436,8268,6659,24646,2406,1,14124,816,234362,120697,Education,127769,22,37839,Eligible
50,Male,Single,High School,128702,Private,10,Large,Own,0,5,3,15836,25087,1888,25506,11538,0,0,808,468313,56300,Education,119083,35,44820,Eligible
34,Female,Single,Graduate,175014,Private,6,Small,Rented,8355,6,0,16052,11005,1153,14531,8694,2,19924,720,465178,99097,Education,431734,47,50000,Eligible
53,Male,Married,Graduate,106674,Private,30,Medium,Own,0,6,2,2912,27847,695,6844,13795,2,14072,607,204695,48689,E-commerce,54783,12,34953,High_Risk
45,Male,Married,High School,100334,Private,35,Medium,Rented,19243,1,0,7000,15665,7205,20458,3064,0,0,411,462365,160001,Vehicle,795492,48,21208,Not_Eligible
41,Male,Married,Graduate,129209,Self-employed,31,Large,Family,0,2,2,13554,19096,3952,2387,5911,0,0,497,41247,5144,Vehicle,723556,28,50000,Not_Eligible
43,Male,Married,High School,51589,Private,21,Small,Own,0,4,1,17471,6114,3202,27010,8331,0,0,722,159856,40138,E-commerce,31269,11,1909,Not_Eligible
45,Male,Single,Post Graduate,43057,Private,29,Large,Own,0,2,1,14741,29848,6576,12866,1096,0,0,800,150967,113250,Education,91511,8,9735,Not_Eligible
26,Female,Single,Graduate,171099,Private,16,Medium,Own,0,4,3,9434,5779,2120,23281,13778,1,4861,830,348631,168485,Personal Loan,547935,54,50000,Eligible
30,Female,Married,High School,54880,Private,1,Medium,Rented,31281,6,2,5999,998,5455,22610,12070,2,22150,514,302947,80248,Education,293263,7,500,Not_Eligible
33,Female,Single,High School,108304,Private,15,Small,Family,0,2,2,18200,13195,5097,15240,2156,1,14024,568,236305,13929,Home Appliances,255321,27,35088,Not_Eligible
29,Male,Married,Graduate,64931,Self-employed,28,Medium,Rented,23299,6,3,17492,25046,6908,29209,12643,0,0,580,128012,110318,Personal Loan,337967,25,500,Not_Eligible
40,Male,Married,Graduate,57634,Private,26,Medium,Rented,24862,6,0,17937,27636,6427,24297,6732,0,0,330,253435,54078,E-commerce,180918,13,500,Not_Eligible
49,Male,Single,High School,125589,Private,40,Small,Own,0,6,2,6094,25711,6913,26743,5044,1,12884,364,134494,60901,E-commerce,36834,9,34221,Not_Eligible
48,Male,Married,Graduate,163437,Private,40,Medium,Own,0,1,0,8728,16592,2524,4629,14193,0,0,324,248740,184451,Personal Loan,301206,31,50000,Not_Eligible
41,Male,Single,High School,96752,Government,9,Medium,Own,0,2,0,4876,27501,1831,15554,7779,1,8614,706,169786,188293,E-commerce,75703,15,30536,Eligible
55,Female,Married,Graduate,40664,Private,0,Medium,Rented,8137,1,0,19091,14761,5571,28655,3408,0,0,423,444311,51757,Home Appliances,110482,25,500,Not_Eligible
45,Female,Married,Graduate,60228,Private,11,Small,Own,0,1,2,17342,14345,1044,24759,12142,0,0,685,373071,118270,Personal Loan,518047,58,7166,Not_Eligible
27,Female,Married,Graduate,45446,Self-employed,35,Medium,Rented,11461,1,2,3465,5422,4816,14715,10736,1,7043,506,87635,108167,Vehicle,1255925,36,500,Not_Eligible
52,Female,Married,Graduate,178320,Private,33,Small,Rented,7782,3,3,4940,23633,6441,3969,2880,0,0,737,470067,192242,Home Appliances,31804,24,50000,Eligible
45,Female,Married,High School,74113,Private,4,Large,Own,0,1,1,11041,9483,8300,9902,10161,1,6630,363,329391,189243,Home Appliances,114726,33,17008,Not_Eligible
47,Female,Married,High School,84175,Private,6,Large,Rented,21954,2,3,8310,5852,6706,18024,9435,0,0,479,175188,70001,Personal Loan,435390,26,7854,Not_Eligible
45,Male,Married,Graduate,28141,Private,23,Small,Rented,10650,6,1,9198,11086,9950,19972,4130,0,0,412,265230,5084,Education,202711,43,500,Not_Eligible
44,Female,Married,Post Graduate,97516,Self-employed,27,Small,Own,0,6,0,7358,18094,5789,27881,6459,1,7048,540,97744,457,Personal Loan,156903,58,21585,Not_Eligible
28,Female,Single,Professional,184076,Private,40,Small,Own,0,6,0,13479,8100,4739,4600,12590,0,0,609,23412,929,Home Appliances,85365,32,50000,High_Risk
45,Female,Married,Post Graduate,90795,Private,30,Medium,Rented,37386,1,0,17962,10759,2834,13099,2616,2,14768,392,210318,156253,Vehicle,852939,53,1353,Not_Eligible
53,Female,Married,Graduate,135480,Private,8,Large,Own,0,4,1,18345,9903,6895,9618,10835,2,21986,667,391088,147980,E-commerce,48870,18,41335,High_Risk
35,Male,Single,Graduate,48659,Private,1,Medium,Rented,47633,4,1,9105,17885,8203,28883,12472,1,11267,831,175920,165476,E-commerce,133228,13,500,Not_Eligible
46,Female,Married,Graduate,41444,Government,25,Small,Family,0,1,3,16558,21422,3549,6651,14052,0,0,323,192125,27908,Home Appliances,148179,24,6232,Not_Eligible
26,Male,Married,Post Graduate,150351,Private,22,Small,Rented,24216,6,0,13886,20267,1219,8179,4870,1,7189,347,495013,11740,Home Appliances,152102,36,50000,Not_Eligible
37,Female,Single,Post Graduate,27161,Government,37,Small,Rented,5678,3,1,3938,4234,599,10339,3999,1,11500,824,493626,34082,Education,68628,16,500,Not_Eligible
40,Female,Married,Post Graduate,97965,Private,23,Large,Own,0,6,3,15881,10412,6507,4957,14017,1,9304,657,231934,125074,Education,432937,40,30510,High_Risk
60,Female,Single,Post Graduate,73590,Private,20,Medium,Rented,9162,1,0,7008,19455,6799,20017,6942,2,8206,806,22092,1798,E-commerce,76110,14,5422,Not_Eligible
32,Male,Married,Graduate,18007,Private,12,Medium,Rented,34941,4,1,12558,6487,1644,16693,8534,2,25312,688,339642,132204,Home Appliances,27563,11,500,Not_Eligible
34,Female,Married,Post Graduate,113273,Government,3,Small,Rented,40209,1,0,14413,2084,714,17614,7695,1,3798,695,357357,177781,E-commerce,189455,17,14411,High_Risk
39,Female,Married,Post Graduate,193343,Private,35,Large,Own,0,6,2,18874,9650,6717,27403,7718,0,0,386,456894,29146,E-commerce,17334,20,50000,Not_Eligible
60,Male,Married,Graduate,27792,Private,33,Small,Own,0,4,3,18967,20362,4279,14127,9368,0,0,582,474027,147772,Home Appliances,132996,23,500,Not_Eligible
55,Male,Single,Post Graduate,165917,Government,6,Large,Own,0,1,0,16050,19919,4468,10716,6350,2,11030,501,314531,110505,Education,435584,42,50000,Not_Eligible
26,Female,Married,High School,114748,Private,28,Large,Own,0,2,1,10120,3893,2993,12512,5881,1,3724,759,53564,188833,E-commerce,35926,11,46681,Eligible
33,Female,Married,Professional,148859,Private,14,Medium,Own,0,3,1,8004,20306,7322,24405,6010,0,0,323,124689,48640,Personal Loan,308985,56,50000,Not_Eligible
54,Female,Married,Post Graduate,32861,Private,17,Large,Family,0,1,3,8824,5833,7574,16796,9845,1,8329,310,358341,45379,Home Appliances,238603,26,500,Not_Eligible
27,Female,Married,High School,175782,Self-employed,34,Small,Own,0,1,3,19017,22240,995,6737,12270,2,24570,606,303705,3290,Vehicle,163071,70,50000,High_Risk
55,Male,Single,Graduate,17112,Private,34,Medium,Family,0,6,0,4100,16996,1346,21315,8327,1,12644,834,217990,141026,Education,302409,17,500,Not_Eligible
35,Female,Married,High School,182760,Private,7,Small,Own,0,6,1,10492,3796,5773,22876,10163,0,0,848,200938,173383,Education,249222,25,50000,Eligible
58,Male,Single,Post Graduate,136694,Private,12,Medium,Own,0,4,3,13591,10505,6230,8998,6196,2,21146,627,354773,3756,Education,183241,45,46749,High_Risk
35,Female,Single,Post Graduate,77435,Private,33,Small,Rented,15248,6,0,451,24556,1876,17597,11606,0,0,536,211175,98339,Vehicle,1382848,15,10934,Not_Eligible
40,Male,Married,Graduate,16313,Private,37,Small,Own,0,4,3,12698,12981,2002,17783,5907,2,27416,450,77390,144822,E-commerce,187821,11,500,Not_Eligible
48,Female,Single,Post Graduate,128027,Private,3,Small,Rented,49706,1,0,5200,20645,6983,6900,6316,1,4066,845,489663,156340,Education,409925,39,19915,Eligible
29,Male,Single,High School,31175,Private,34,Small,Own,0,5,2,5613,22448,4820,2255,828,0,0,400,174692,186060,Education,319501,37,11925,Not_Eligible
45,Female,Single,Graduate,127630,Private,20,Medium,Rented,10201,1,3,12435,915,1639,22107,3921,0,0,369,139295,144579,Education,356617,42,44965,Not_Eligible
43,Male,Married,Graduate,158032,Self-employed,24,Medium,Rented,17799,5,2,177,27945,6291,19232,11077,2,17456,580,34657,184110,Vehicle,681650,65,38199,Not_Eligible
53,Male,Married,High School,64450,Private,3,Small,Family,0,3,3,3136,10068,1199,21985,1303,2,17548,516,234468,198742,Home Appliances,294186,35,6667,Not_Eligible
60,Female,Single,Graduate,59163,Private,27,Large,Own,0,1,2,9099,23802,2691,12565,3359,0,0,573,493102,185501,E-commerce,38110,13,20100,Not_Eligible
48,Male,Married,Graduate,56061,Self-employed,27,Large,Own,0,2,0,11681,14001,7275,16432,11650,1,7928,796,79933,87591,Home Appliances,162817,25,1094,Not_Eligible
39,Female,Married,Graduate,56595,Self-employed,27,Small,Own,0,5,2,2182,17309,2612,29487,13098,2,28998,448,122350,81407,Home Appliances,201173,32,500,Not_Eligible
39,Female,Single,Graduate,36072,Private,32,Medium,Own,0,6,2,7232,10818,1103,8313,6229,2,23380,783,89272,85510,Home Appliances,169012,27,500,Not_Eligible
40,Female,Single,Post Graduate,61195,Private,38,Medium,Family,0,4,1,6151,25597,9620,20279,6103,2,29578,416,47025,190143,Education,454764,10,500,Not_Eligible
